#_prob       var_1    var_2    var_3    var_4    var_5    var_6    var_7    var_8    var_9    var_10    var_11    var_12    var_13    var_14    var_15    var_16    var_17    var_18    var_19    var_20    var_21    var_22    var_23    var_24    var_25    var_26    var_27    var_28    var_29    var_30    var_31    var_32    var_33    var_34    var_35    var_36    var_37    var_38    var_39    var_40 
0.011111 12.52616 21.97364  4.47115 15.07179 12.40857  4.09696  4.66042  3.58479 12.91179  5.40471 13.97245 10.20883 13.47935  7.92744 12.39708  3.99926  8.37855  5.28634  7.20893  6.25501  7.11386  8.63484 13.58484 10.20883 15.08389 19.49052  8.56549 10.45093  6.08236 13.41176  8.63902  5.47262  8.66252  8.21586 12.10496  8.24699 14.59882 18.74956 13.39893  8.60168
0.011111 10.91797 20.92263  6.42947 16.18892  7.94554 15.41843  5.04976  2.64536 20.41735  8.63484  7.58026 10.12830 12.86856  8.42263 10.13411  7.95435 10.28553  6.87894 13.85162  5.02777 11.04592 10.82105  9.40791 11.41734  9.87455 22.37665 15.47873 13.05402 12.78932  5.28634  6.22373  2.72638 20.11963  1.47510  7.40438  3.21265  8.92690  9.10105 17.17262  7.21424
0.011111  6.93578  5.70673 13.67424 16.50349 11.27281  9.88864  4.85898  4.31196 14.18196  7.22426 11.81741  6.08984 15.62230 13.12696 17.50663  6.05617 11.05439  8.34767  7.46651  4.48279 23.45195  3.82468 10.64555 13.12986 14.01284 13.40965 10.00179  8.33915 11.48623  3.41352 14.30415  4.27094 11.31961  3.57207 12.56036  8.43747 17.58580 10.10665  9.59373 10.92211
0.011111 12.09289  7.38701 18.36791  7.70345 10.75481  8.58998 14.56164  2.49982  7.88117  2.89828 15.98449 13.12986 11.58312 16.65619 10.64661 13.25520 11.62589 18.81748  8.41776  5.79847 22.53336  9.77074  7.94034  5.95026 12.75261 19.75430 11.94274 19.02003 11.89931 11.22299 13.27433  3.39490 12.16861  6.25995  9.51360 11.31029 13.60854 11.49641 12.16675 19.02003
0.011111 11.68252 19.75430 11.71750  5.46411 10.83064 11.88663 10.14739  5.14397 18.77388 10.36440 14.85478  8.34286 13.87511 12.98769  1.15402  8.08146  4.44859 13.85182  2.57011  3.71733 16.75015  9.59054 13.05052 11.10500 11.19698 21.97364  3.05375 12.85727 10.98042  8.11017 12.47266  2.64536 18.05339  4.22014 17.99505  9.23944  9.03171  9.31323  7.02465  4.21039
0.011111 11.10303 22.81824  8.08463 13.05402  5.91554 14.57835  6.22373  3.99963 12.46172  8.08279  8.21819 10.04909 10.55844 10.10665 17.89284 15.07179 10.44479  7.99313  9.06501  3.78559  9.45060  6.16022 15.98449  9.06810 12.41549  6.78609  8.87153 11.93118 11.41562  6.15158  7.07661  3.27360 16.34820  8.08279 11.01690  8.05127 15.81711 16.10655 14.75036 20.66745
0.011111 13.35268 13.99298 10.13411 19.69187  8.68481 15.73499 10.54480  4.07454 11.45813  5.13784 10.76745  7.64234  9.61079 15.24788 18.36791 12.10943  4.70716  8.11017 10.34310  6.00037 11.45813  6.06177  6.48107  4.23966 12.86856  4.13969 13.81649  6.50905  8.48226  9.61563 10.96858  2.44077 19.55559  5.40471  8.03218 12.75214  5.64512 14.60422 13.96210  5.05475
0.011111 12.30643 16.65619 13.81649  4.74825  8.16587  9.09047  4.45303  3.48859 14.01683  5.77364  6.64379  8.43747 14.29830 20.61053  7.57322  9.85154  4.94314  8.96318  1.68232  4.31196  9.86259  4.70967  7.66922 11.00630 11.01003 10.47554 13.39893 12.47598  8.16587 16.07695  0.97125  4.15145 12.02403  2.15977  9.30334 12.28212 17.26240  5.26884  9.16730 14.57589
0.011111 15.25658 13.40965 10.77083 20.66745 10.04087 11.54827  7.83691  5.47262 13.37532  7.34010  7.40438 10.54555 11.98829 11.81301 12.63468 10.92211 11.96649 10.45841  5.75000  4.35363 20.41735  0.55744 11.67789  8.53087 14.29830  7.38701  3.46282 16.50349 11.83167 16.87084  3.50303  4.23053  9.30452  8.63484  8.50326  2.44834 11.10303 13.40965 11.48797  8.86931
0.011111 11.38785 17.64407  3.82850  3.48998 11.41562 12.06123  4.00623  4.43901  8.99641  2.01055  7.06035  9.23944 15.43578 13.26760 11.48797  7.45682  3.82485 11.88663  7.59200  6.66686 20.11963  4.38059  5.83635 10.45902 19.08767 10.82900  5.29099 17.57923  9.70294  9.09047  9.95697  3.18513 13.37532  4.14088 10.17498  9.15421  7.14020 16.46977  3.05375 13.67213
0.011111 11.78315 10.10665 10.64661 17.57923 12.32684  2.63208  8.07433  3.45709 10.51126  5.22592  9.94902  7.20628  8.47621 12.41714  7.39489 12.66468  9.87366  6.98613  7.07661  3.24388 14.01683  7.22426 14.61755  3.21265 16.46524 17.23688 10.26468 10.14737  3.82485  2.63208  4.66042  4.03684 22.53336  0.96556  6.40050  9.57212 17.95975 18.06983  2.58073  7.45682
0.011111  8.70840  9.51944 14.11131  9.42115  7.22897 15.12233  9.06501  2.95751 17.82456 11.35522  5.62331 10.90999 15.81711  6.45540  3.05375  9.70636 10.67832  3.09484  7.33885  2.55260 18.52762  7.57808  9.83818  3.77401 14.91706 13.84473 10.52088  7.45682  5.16158  9.88864 11.54460  5.33338 12.61032 10.58510 14.85478  4.23966 10.55844 10.65408 11.37151 13.46112
0.011111 12.86856 19.49052 17.89284  7.33503  3.41343 10.60631  2.91440  4.76350 22.97168  8.21586  9.83818 12.00946 10.91797 25.60639  8.56549 14.11107 11.27281  6.77260 10.44317  5.14397 15.39966  3.48380 13.40107  5.34742  9.51944 16.28661  5.77333 11.58387  9.16589 12.60975 12.05356  6.25501 25.37466  0.55744  6.64379  7.09237 11.48491 12.84791  8.40827 12.66468
0.011111 14.44653 20.02804  9.31164  9.99852 12.24892 11.38409  3.50303  6.00037 12.61032  2.78878 11.54098 12.14254  8.70840 10.29315  1.99890  7.33503  5.91554 10.31279 10.54480  2.37250 16.34820  5.31487  8.59998 12.42924  8.22739 13.69816 16.60156  8.86931  7.09976  4.44895  7.20893  3.71733 14.51844  7.11037  7.49198 10.04909 10.29734 12.41714 12.75643 12.10943
0.011111  7.32675 15.92943  9.02064 18.47384 11.96649 16.07695 10.85987  2.72638 22.53336  9.41742 16.34073  3.21265  9.42620 10.82900 13.81649 16.83715 10.90584 12.42250 13.27433  3.09865  9.99238  4.87858 10.76745 10.12830 14.59882  9.91575 17.89284 12.10943 10.75481 15.12233  6.66385  5.08499 22.97168  4.62634 15.98449 11.52769 11.19698  8.88233  4.16223 11.24785
0.011111 17.58580 18.98894  7.57322  6.97553  9.52829  3.09484  0.97125  5.62587 11.31961  4.79375 13.77505 13.60625 15.25658 23.88347 16.87404 12.47598  5.16158  2.63208  9.66856  2.95751 14.68994  9.41742  8.12479  4.44903  7.81328 10.10665 12.51493 10.60579  9.34938  7.87720 15.59247  3.12726 15.21848  7.70046 10.89121  8.98110 12.75261  7.66366 14.42168 15.33353
