#_prob	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8	var_9	var_10	var_11	var_12	var_13	var_14	var_15	var_16	var_17	var_18	var_19	var_20	var_21	var_22	var_23	var_24	var_25	var_26	var_27	var_28	var_29	var_30	var_31	var_32	var_33	var_34	var_35	var_36	var_37	var_38	var_39	var_40	var_41	var_42	var_43	var_44	var_45	var_46	var_47	var_48	var_49	var_50	var_51	var_52	var_53	var_54	var_55	var_56	var_57	var_58	var_59	var_60	var_61	var_62	var_63	var_64	var_65	var_66	var_67	var_68	var_69	var_70	var_71	var_72	var_73	var_74	var_75	var_76	var_77	var_78	var_79	var_80
0.001	12.6385	24.5861	3.8285	6.85757	7.22897	11.54827	7.46651	3.21439	20.72722	3.10573	7.31742	8.24699	19.08767	24.5861	9.86767	5.94447	6.3971	16.87084	12.32879	3.09865	9.15332	3.4838	6.16189	8.9811	11.38785	9.31323	2.58073	11.41451	11.12777	13.41176	12.93468	4.66617	13.37532	8.35206	11.0169	11.52769	14.59882	8.65644	13.2655	9.56291	7.95775	14.92169	12.88027	4.40306	8.27312	5.52156	12.62126	2.68706	14.68994	5.40471	12.7195	10.8159	15.81711	5.70673	7.74745	7.57962	9.16589	9.21931	10.75307	3.82025	19.83275	3.20443	8.03218	13.60625	9.33095	10.29315	18.36791	5.33324	10.12322	8.46821	10.85987	5.62587	9.59203	10.5851	11.81741	3.77401	13.10635	15.08365	1.15402	13.67213
0.001	7.1402	14.92169	6.42947	13.05402	12.24892	15.41843	4.85898	3.75129	20.11963	4.9642	8.31238	8.9811	12.41549	12.41714	16.11338	11.41451	11.34449	8.34767	8.63902	3.30356	22.53336	12.47332	6.08334	12.75214	13.87511	16.10655	14.11131	18.00148	10.75481	3.41352	15.18277	5.08499	16.15236	4.46181	6.48107	12.5853	9.13387	14.76191	11.7175	16.83715	9.13387	14.143	10.00179	18.00148	9.25823	3.67261	7.83691	3.21439	22.97168	12.47332	6.97588	12.5853	8.35411	16.28661	4.47115	16.83715	12.03356	4.89799	7.33885	3.3949	21.05086	6.88812	7.31742	6.85787	6.44267	20.02804	17.89284	9.85154	8.78379	5.74205	15.18277	3.71733	18.77388	8.49163	7.66922	11.20626	9.61079	6.09816	13.67424	9.14236
0.001	19.08767	16.28661	10.64661	17.57923	8.58432	10.45841	13.45631	2.95751	8.99641	12.02894	13.58484	5.01223	14.91706	15.24788	11.60329	7.70345	7.94554	12.23976	12.93468	3.85529	15.39966	1.24661	6.892	10.37411	12.86856	7.0954	5.03254	16.18892	9.34938	13.62799	14.30415	2.76369	16.3482	9.59054	10.89121	8.9811	7.95775	20.31295	6.63379	14.33996	8.22739	7.66366	12.51493	9.42115	12.49472	16.87084	9.06501	3.2736	14.34914	7.22426	7.40438	4.23966	9.78825	18.98894	12.16675	8.86931	4.70716	5.84756	6.06992	2.16657	10.64339	11.35522	10.52542	9.97101	12.98644	19.7543	16.11338	14.33996	10.20476	10.90939	10.24453	2.68706	7.65016	5.05061	8.59998	8.89316	11.19698	7.0954	13.81649	6.62435
0.001	14.91706	6.78609	8.40827	20.66745	12.17431	10.60631	5.04976	4.97216	14.51844	4.54372	14.61755	10.90999	14.2983	16.46977	10.26468	11.24785	6.6908	8.11017	4.23551	3.48859	23.45195	3.90525	9.72869	14.37676	14.91706	13.2676	18.36791	12.85727	10.98042	15.73499	3.76304	3.65042	15.58352	3.10573	8.79612	11.31029	17.95975	11.81301	10.26468	18.00148	11.01003	10.47554	13.67424	3.76308	11.12777	11.38409	12.18921	2.95751	8.09502	7.458	16.75264	12.42924	11.10303	11.65602	10.8936	9.14236	11.55632	8.71302	8.30489	3.58479	15.58352	2.01055	13.97245	8.9811	16.70947	16.84605	15.10101	7.09441	8.9775	5.52156	5.75	3.68371	17.16709	6.25995	7.40438	9.40738	12.75261	23.31225	9.31164	4.90554
0.001	7.66098	16.84605	9.86767	7.82836	5.55854	12.23976	8.52912	3.3642	18.05339	2.67482	9.62051	7.09237	11.10303	7.0954	7.57322	6.50905	11.48623	3.41352	8.96046	3.15609	16.95665	6.16022	6.8087	10.04909	9.03171	13.40965	11.37151	15.07179	7.22897	8.11017	10.44317	5.14397	17.16709	8.49163	17.25931	6.85787	16.9733	16.65619	11.37151	17.57923	11.78315	11.00051	18.36791	5.05475	2.81602	15.41843	11.07928	5.14397	10.9107	4.06225	8.99601	1.83617	6.7071	12.84791	17.89284	10.45093	8.48226	15.73499	7.07661	3.2736	23.98923	9.95894	11.14462	7.95132	9.03171	7.66366	10.77083	5.83002	6.3971	5.84756	11.19211	4.97216	22.97168	8.63484	12.7195	5.34742	12.52616	9.72014	15.67993	8.20971
0.001	16.02143	17.85447	2.58073	6.74052	8.05671	5.40598	3.76304	2.68706	14.01683	2.78878	5.83635	13.60625	10.29734	11.1688	12.63468	10.29814	6.54632	7.99313	15.18277	4.619	21.3903	6.25995	6.64379	8.53087	9.61079	18.29051	19.05775	10.45093	12.68379	5.84756	4.85898	5.20489	9.72925	6.06177	9.40791	4.44903	10.21182	12.70628	8.56549	9.85154	9.70036	16.84605	12.28105	11.08375	12.68379	7.53572	8.07433	3.71733	10.1207	9.95894	11.27446	10.04909	14.75553	9.91575	12.88027	5.71205	2.81602	17.35554	11.19211	3.55243	14.86372	12.47332	13.58484	10.90999	8.81921	23.88347	9.59373	16.50349	8.16587	7.8772	4.85898	5.40149	14.68994	3.00379	5.92467	8.6231	10.04296	9.91575	11.48797	19.02003
0.001	13.35268	14.60422	19.05775	17.19388	10.60117	6.25315	9.27048	4.23053	5.79883	6.36101	5.62331	9.49014	16.9733	18.98894	10.13411	7.95435	7.59876	8.96318	2.17201	3.04204	9.4506	8.49163	12.40506	3.77401	17.95975	13.69816	10.77083	6.62435	11.76356	8.46821	6.66385	6.25501	25.37466	7.11037	9.72869	5.34742	12.19892	18.98894	7.74745	10.60579	15.6223	21.25162	16.87404	4.90554	8.9775	7.42391	14.30415	2.5526	18.28761	7.95265	8.03218	10.54555	14.2983	22.81824	13.39893	9.42115	9.43938	12.4225	9.16833	4.97216	12.3145	10.3644	10.407	6.73702	7.1402	13.12696	9.1673	10.14737	5.55854	16.45166	9.66856	4.03684	15.58352	6.36101	10.64555	6.97627	6.44267	14.29484	4.76011	12.29097
0.001	11.01003	13.12696	17.17262	3.76308	11.96649	8.46821	10.5448	5.14397	26.48432	3.00379	16.34073	7.42803	10.91797	20.31295	14.75036	4.58142	10.67832	9.61563	2.57011	4.35363	8.83309	1.84934	8.99601	8.34286	19.08767	18.06983	16.11338	7.57962	8.68481	5.28634	9.47155	6.00037	7.65016	5.67988	7.66922	9.97101	10.12704	3.2353	3.46282	15.8905	9.95934	10.65408	8.40827	14.33996	10.20476	4.27974	10.5448	3.55243	12.76033	4.62634	10.76745	6.08984	15.25658	18.06983	13.81649	10.92211	3.82485	5.95025	7.71543	3.99963	16.15236	10.5851	8.31238	10.72388	14.2983	10.47554	5.5374	12.47598	6.54632	12.99927	10.64808	3.52036	10.1207	5.40471	15.10641	4.01582	9.78825	11.96751	14.11131	3.48998
0.001	11.38785	18.51693	13.9621	9.56291	11.48623	16.07695	6.52045	2.98612	9.99238	7.82526	6.00529	10.29074	10.55844	8.42263	4.16223	13.05402	10.52333	16.07695	10.05163	3.3642	10.9107	11.07593	8.6976	13.12986	11.88506	11.00051	11.7175	3.15406	10.90584	13.85182	13.10081	4.03684	12.02403	3.00379	5.62331	7.09237	13.47935	9.51944	8.24804	14.81956	10.7365	3.2353	6.42947	13.2552	8.58432	16.45166	13.27433	3.58479	16.3482	4.22014	14.85478	11.64166	5.64512	10.10665	14.42168	10.76282	6.24265	5.40598	9.95697	5.47262	8.09502	7.3401	11.81741	14.37676	10.55844	18.06983	1.9989	6.28098	10.36553	10.16935	13.27433	4.39597	18.05339	1.84934	8.31238	8.9811	14.44653	10.29315	9.1673	6.74052
0.001	11.98829	13.69816	6.83201	7.33503	11.69497	3.67261	0.97125	4.8138	10.1207	7.95265	16.75264	11.0063	10.7365	11.96751	5.77333	6.28098	7.22897	3.89667	4.85898	2.86603	15.21848	5.67988	13.40107	9.73382	15.81711	20.92263	11.01497	6.16818	4.94314	10.16935	13.85162	3.99963	18.52762	3.74237	15.66605	8.53087	6.44267	12.41714	12.39708	6.3946	12.86856	10.29315	11.13504	10.76282	11.55632	18.81748	12.77507	6.00037	22.12762	5.05061	12.40506	10.20883	10.47062	14.60422	1.15402	10.29814	8.78379	13.41176	5.2336	4.66617	22.53336	4.38059	13.77505	12.75214	11.38785	12.84791	8.40827	8.46979	11.41562	14.84318	8.30489	4.66617	16.95665	13.1186	15.37544	10.6338	16.02143	5.26884	10.52088	18.00148
