#_prob       var_1    var_2    var_3    var_4    var_5    var_6    var_7    var_8    var_9    var_10    var_11    var_12    var_13    var_14    var_15    var_16    var_17    var_18    var_19    var_20    var_21    var_22    var_23    var_24    var_25    var_26    var_27    var_28    var_29    var_30    var_31    var_32    var_33    var_34    var_35    var_36    var_37    var_38    var_39    var_40    var_41    var_42    var_43    var_44    var_45    var_46    var_47    var_48    var_49    var_50    var_51    var_52    var_53    var_54    var_55    var_56    var_57    var_58    var_59    var_60    var_61    var_62    var_63    var_64    var_65    var_66    var_67    var_68    var_69    var_70    var_71    var_72    var_73    var_74    var_75    var_76    var_77    var_78    var_79    var_80 
0.011111 12.63850 24.58610  3.82850  6.85757  7.22897 11.54827  7.46651  3.21439 20.72722  3.10573  7.31742  8.24699 19.08767 24.58610  9.86767  5.94447  6.39710 16.87084 12.32879  3.09865  9.15332  3.48380  6.16189  8.98110 11.38785  9.31323  2.58073 11.41451 11.12777 13.41176 12.93468  4.66617 13.37532  8.35206 11.01690 11.52769 14.59882  8.65644 13.26550  9.56291  7.95775 14.92169 12.88027  4.40306  8.27312  5.52156 12.62126  2.68706 14.68994  5.40471 12.71950 10.81590 15.81711  5.70673  7.74745  7.57962  9.16589  9.21931 10.75307  3.82025 19.83275  3.20443  8.03218 13.60625  9.33095 10.29315 18.36791  5.33324 10.12322  8.46821 10.85987  5.62587  9.59203 10.58510 11.81741  3.77401 13.10635 15.08365  1.15402 13.67213
0.011111  7.14020 14.92169  6.42947 13.05402 12.24892 15.41843  4.85898  3.75129 20.11963  4.96420  8.31238  8.98110 12.41549 12.41714 16.11338 11.41451 11.34449  8.34767  8.63902  3.30356 22.53336 12.47332  6.08334 12.75214 13.87511 16.10655 14.11131 18.00148 10.75481  3.41352 15.18277  5.08499 16.15236  4.46181  6.48107 12.58530  9.13387 14.76191 11.71750 16.83715  9.13387 14.14300 10.00179 18.00148  9.25823  3.67261  7.83691  3.21439 22.97168 12.47332  6.97588 12.58530  8.35411 16.28661  4.47115 16.83715 12.03356  4.89799  7.33885  3.39490 21.05086  6.88812  7.31742  6.85787  6.44267 20.02804 17.89284  9.85154  8.78379  5.74205 15.18277  3.71733 18.77388  8.49163  7.66922 11.20626  9.61079  6.09816 13.67424  9.14236
0.011111 19.08767 16.28661 10.64661 17.57923  8.58432 10.45841 13.45631  2.95751  8.99641 12.02894 13.58484  5.01223 14.91706 15.24788 11.60329  7.70345  7.94554 12.23976 12.93468  3.85529 15.39966  1.24661  6.89200 10.37411 12.86856  7.09540  5.03254 16.18892  9.34938 13.62799 14.30415  2.76369 16.34820  9.59054 10.89121  8.98110  7.95775 20.31295  6.63379 14.33996  8.22739  7.66366 12.51493  9.42115 12.49472 16.87084  9.06501  3.27360 14.34914  7.22426  7.40438  4.23966  9.78825 18.98894 12.16675  8.86931  4.70716  5.84756  6.06992  2.16657 10.64339 11.35522 10.52542  9.97101 12.98644 19.75430 16.11338 14.33996 10.20476 10.90939 10.24453  2.68706  7.65016  5.05061  8.59998  8.89316 11.19698  7.09540 13.81649  6.62435
0.011111 14.91706  6.78609  8.40827 20.66745 12.17431 10.60631  5.04976  4.97216 14.51844  4.54372 14.61755 10.90999 14.29830 16.46977 10.26468 11.24785  6.69080  8.11017  4.23551  3.48859 23.45195  3.90525  9.72869 14.37676 14.91706 13.26760 18.36791 12.85727 10.98042 15.73499  3.76304  3.65042 15.58352  3.10573  8.79612 11.31029 17.95975 11.81301 10.26468 18.00148 11.01003 10.47554 13.67424  3.76308 11.12777 11.38409 12.18921  2.95751  8.09502  7.45800 16.75264 12.42924 11.10303 11.65602 10.89360  9.14236 11.55632  8.71302  8.30489  3.58479 15.58352  2.01055 13.97245  8.98110 16.70947 16.84605 15.10101  7.09441  8.97750  5.52156  5.75000  3.68371 17.16709  6.25995  7.40438  9.40738 12.75261 23.31225  9.31164  4.90554
0.011111  7.66098 16.84605  9.86767  7.82836  5.55854 12.23976  8.52912  3.36420 18.05339  2.67482  9.62051  7.09237 11.10303  7.09540  7.57322  6.50905 11.48623  3.41352  8.96046  3.15609 16.95665  6.16022  6.80870 10.04909  9.03171 13.40965 11.37151 15.07179  7.22897  8.11017 10.44317  5.14397 17.16709  8.49163 17.25931  6.85787 16.97330 16.65619 11.37151 17.57923 11.78315 11.00051 18.36791  5.05475  2.81602 15.41843 11.07928  5.14397 10.91070  4.06225  8.99601  1.83617  6.70710 12.84791 17.89284 10.45093  8.48226 15.73499  7.07661  3.27360 23.98923  9.95894 11.14462  7.95132  9.03171  7.66366 10.77083  5.83002  6.39710  5.84756 11.19211  4.97216 22.97168  8.63484 12.71950  5.34742 12.52616  9.72014 15.67993  8.20971
0.011111 16.02143 17.85447  2.58073  6.74052  8.05671  5.40598  3.76304  2.68706 14.01683  2.78878  5.83635 13.60625 10.29734 11.16880 12.63468 10.29814  6.54632  7.99313 15.18277  4.61900 21.39030  6.25995  6.64379  8.53087  9.61079 18.29051 19.05775 10.45093 12.68379  5.84756  4.85898  5.20489  9.72925  6.06177  9.40791  4.44903 10.21182 12.70628  8.56549  9.85154  9.70036 16.84605 12.28105 11.08375 12.68379  7.53572  8.07433  3.71733 10.12070  9.95894 11.27446 10.04909 14.75553  9.91575 12.88027  5.71205  2.81602 17.35554 11.19211  3.55243 14.86372 12.47332 13.58484 10.90999  8.81921 23.88347  9.59373 16.50349  8.16587  7.87720  4.85898  5.40149 14.68994  3.00379  5.92467  8.62310 10.04296  9.91575 11.48797 19.02003
0.011111 13.35268 14.60422 19.05775 17.19388 10.60117  6.25315  9.27048  4.23053  5.79883  6.36101  5.62331  9.49014 16.97330 18.98894 10.13411  7.95435  7.59876  8.96318  2.17201  3.04204  9.45060  8.49163 12.40506  3.77401 17.95975 13.69816 10.77083  6.62435 11.76356  8.46821  6.66385  6.25501 25.37466  7.11037  9.72869  5.34742 12.19892 18.98894  7.74745 10.60579 15.62230 21.25162 16.87404  4.90554  8.97750  7.42391 14.30415  2.55260 18.28761  7.95265  8.03218 10.54555 14.29830 22.81824 13.39893  9.42115  9.43938 12.42250  9.16833  4.97216 12.31450 10.36440 10.40700  6.73702  7.14020 13.12696  9.16730 10.14737  5.55854 16.45166  9.66856  4.03684 15.58352  6.36101 10.64555  6.97627  6.44267 14.29484  4.76011 12.29097
0.011111 11.01003 13.12696 17.17262  3.76308 11.96649  8.46821 10.54480  5.14397 26.48432  3.00379 16.34073  7.42803 10.91797 20.31295 14.75036  4.58142 10.67832  9.61563  2.57011  4.35363  8.83309  1.84934  8.99601  8.34286 19.08767 18.06983 16.11338  7.57962  8.68481  5.28634  9.47155  6.00037  7.65016  5.67988  7.66922  9.97101 10.12704  3.23530  3.46282 15.89050  9.95934 10.65408  8.40827 14.33996 10.20476  4.27974 10.54480  3.55243 12.76033  4.62634 10.76745  6.08984 15.25658 18.06983 13.81649 10.92211  3.82485  5.95025  7.71543  3.99963 16.15236 10.58510  8.31238 10.72388 14.29830 10.47554  5.53740 12.47598  6.54632 12.99927 10.64808  3.52036 10.12070  5.40471 15.10641  4.01582  9.78825 11.96751 14.11131  3.48998
0.011111 11.38785 18.51693 13.96210  9.56291 11.48623 16.07695  6.52045  2.98612  9.99238  7.82526  6.00529 10.29074 10.55844  8.42263  4.16223 13.05402 10.52333 16.07695 10.05163  3.36420 10.91070 11.07593  8.69760 13.12986 11.88506 11.00051 11.71750  3.15406 10.90584 13.85182 13.10081  4.03684 12.02403  3.00379  5.62331  7.09237 13.47935  9.51944  8.24804 14.81956 10.73650  3.23530  6.42947 13.25520  8.58432 16.45166 13.27433  3.58479 16.34820  4.22014 14.85478 11.64166  5.64512 10.10665 14.42168 10.76282  6.24265  5.40598  9.95697  5.47262  8.09502  7.34010 11.81741 14.37676 10.55844 18.06983  1.99890  6.28098 10.36553 10.16935 13.27433  4.39597 18.05339  1.84934  8.31238  8.98110 14.44653 10.29315  9.16730  6.74052
0.011111 11.98829 13.69816  6.83201  7.33503 11.69497  3.67261  0.97125  4.81380 10.12070  7.95265 16.75264 11.00630 10.73650 11.96751  5.77333  6.28098  7.22897  3.89667  4.85898  2.86603 15.21848  5.67988 13.40107  9.73382 15.81711 20.92263 11.01497  6.16818  4.94314 10.16935 13.85162  3.99963 18.52762  3.74237 15.66605  8.53087  6.44267 12.41714 12.39708  6.39460 12.86856 10.29315 11.13504 10.76282 11.55632 18.81748 12.77507  6.00037 22.12762  5.05061 12.40506 10.20883 10.47062 14.60422  1.15402 10.29814  8.78379 13.41176  5.23360  4.66617 22.53336  4.38059 13.77505 12.75214 11.38785 12.84791  8.40827  8.46979 11.41562 14.84318  8.30489  4.66617 16.95665 13.11860 15.37544 10.63380 16.02143  5.26884 10.52088 18.00148
0.011111 13.87511 12.56271 16.11338  8.73484  9.87366  6.05076  8.07433  3.58479 14.34914  2.89828  7.40438  3.50905 13.60854  6.09816 19.05775 18.47384  5.36591 13.20239 10.85987  4.48279 13.37532  5.05061 14.39249  5.34742 10.29734 10.29315 14.58353 17.19388 11.55632  9.48183  9.37153  3.89073 12.91179 11.35522 15.10641 13.35079  8.35411 14.92169  7.91784  7.09441 10.12704  5.70673 15.10101  9.56291 10.83064  6.45855  9.16833  3.12726  9.86259  7.57808 13.40107  7.74692 13.10635 11.49641 15.28609  9.56291 11.34449  7.09421  2.91440  6.66686 25.37466  6.06177 12.71950 11.52769 11.98829  7.38701  8.56549 11.24785 11.83167  5.16218 12.32879  2.60077 19.55559  4.54372 11.67789 12.58530 16.70947 16.65619  9.59373 12.47598
0.011111 13.74040 20.02804 10.52088 12.47598  8.97750  5.28634 11.42462  4.39597 21.74810  2.29935 10.64555 12.00946 16.23680  4.76251  7.91784  6.39460 11.96649  9.09047  3.76304  5.02777 11.59780  4.54372 10.06127  6.97627  6.44267 17.64407 10.64661 16.50349 11.62589 10.60631 12.62126  4.31196 12.31450  6.77958  6.56216 11.10500  9.61079 10.65408  6.83201 11.75604  9.61079 16.65619 14.75036  5.46411  6.24265 14.84318 11.19211  3.30356 21.74810  3.48380  6.24092 12.28212 14.01284 17.23688  5.77333 13.88863 12.68379 11.88663 10.64808  3.36420  7.65016 11.07593  7.23111  5.80664 10.04296 14.14300  6.83201  3.48998 13.36789 13.20239 11.54460  2.49982 21.74810  2.78878  6.08334  6.48732 16.46524 18.98894  9.45375  8.60168
0.011111 10.29734  3.23530 11.01497  6.62435  8.27312 11.38409  5.91212  3.78559 17.38171  4.46181 14.17790 13.92047  9.03171 13.12696 13.53511  7.09441 12.40857 11.22299  5.58317  2.89755  7.39703  5.58718  5.73755 10.54555 10.47062 11.49641  6.42947 12.66468 12.03356 17.35554 13.27433  2.92801  9.59203  3.39323 11.67789 13.92047  8.09550 25.60639  9.86767 13.25520 10.29734 21.60057 14.58353 15.33353 10.28553  6.87894  8.96046  4.07454  5.79883  6.77958  8.50326  9.49014 13.60854 16.65619 11.83064  4.21039 11.41562 12.99927 11.54460  6.42297  9.86259  9.41742 10.17498 10.54555  9.87455  6.45540  9.31164  9.00514  7.22897 14.57835  9.27048  5.33338 11.18221  5.31487  6.48107 12.14254 11.38785  8.65644 12.51493  5.83002
0.011111  8.35411 18.06983 10.39359  7.57962 12.40857 15.12233 13.64814  4.31196  6.38367  5.77364  9.09743 12.75214 15.81711  8.88233  6.21844 10.14737  7.83224  5.40598 12.05356  2.44077  8.99641  3.57207  5.48278  6.73702 14.29830 11.81301 16.87404  4.21039  9.78876  7.64852  9.57055  2.37250 19.02688  3.30018 10.17498 11.75962 12.63850 10.82900  9.73168  8.86931  7.32675  9.10105 10.39359  6.50905  7.35508  5.40598  2.57011  4.27094 14.18196  3.98418 10.89121 11.75962 11.58312 21.97364 11.48797 11.93118  4.15933 16.87084  1.68232  4.86528 21.39030  3.90525  6.08334  6.61356 15.25658 11.49641 13.13468 14.81956 10.44479  8.96318 13.64814  3.48859  7.88117  7.57808  5.62331  6.22570 13.47935 19.23568 15.89095 11.75604
0.011111  8.92690 15.75513  5.29099 10.76282 11.89931  5.52156 14.30415  3.30356 16.54740  1.67270 12.40506 12.14254  9.33095 13.69816  3.05375  6.05617 12.32684  7.53572  9.76562  5.14397 15.03987  4.38059 13.22314  9.57212 13.74040  7.38701 15.47873  5.05475  8.05671  8.58998  3.50303  2.83331 12.16861 13.11860  9.62051 13.12986  6.93578 21.25162 16.87404  6.05617 12.75261 11.16880 11.83064 10.92211  7.09976  6.66710 13.64814  4.31196 16.15236  9.77074  9.51360 10.72388  8.09550  7.38701 16.87404  4.74825  9.70294  8.58998  3.50303  3.75129  8.48362  4.22014 11.01690 12.93237  5.64512 20.92263 11.25388  6.62435  4.70716  6.05076  7.95652  2.28852 13.37532  6.77958  9.72869  5.80664  8.92690 17.03955 11.94274  5.59022
0.011111  6.44267 13.26760  8.56549 11.58387  9.43938 16.87084 11.30717  4.19071 10.51126  7.11037  7.94034 14.37676 15.25658 18.74956 10.89360  9.70636 12.58610 17.35554  6.37381  3.45709 15.95973  4.46181 15.66605  7.20628 11.48491 20.61053  7.39489 15.89050  8.27312  9.34974  4.23551  4.86528  8.09502  9.77074  7.75887  5.50569  5.64512 14.29484  4.47115  7.45682 16.97330  7.92744 13.81649  9.99852 13.36789 12.23976 10.75307  5.33338 10.24993  5.31487 13.22314  5.95026 14.15383 16.46977 13.26550  6.39460 10.12322 10.90939  8.63902  3.04204 22.12762  2.67482 11.54098  4.83368  9.42620 16.46977  7.21214  7.95435 13.63507  6.87894 16.18739  6.25501 11.04592  5.96455  6.56216  9.15421  9.23356 20.02804 11.60329  9.00514
0.011111  9.95934 10.82900 13.13468  9.28101 11.05439  2.63208 15.59247  3.52036  9.15332  5.40471 11.40654  9.57212 12.98644 10.10665  9.45375  6.16818 12.78932 15.41843 15.59247  2.72638 22.12762  7.95265  5.27872  6.85787 16.02143 17.23688  9.86767  9.99852  6.96718 12.06123  8.74751  6.66686 10.38011  5.22592  8.69760  6.08984 11.19698 21.60057 11.83064  7.57962  8.59418 19.75430 10.26468  5.19702  8.88134  4.89799  3.76304  4.39597  8.48362  5.13784  9.40791 10.45902 11.29190 15.75513 11.37151 18.00148 11.05439  8.46821 10.85987  3.45709 19.55559  2.29935 12.25334 11.20626 13.10635 14.76191  5.03254  4.90554 10.52333 10.45841  6.22373  2.83331 16.75015  4.14088 12.25334  9.97101 16.97330 21.60057 13.39893 11.08375
0.011111 10.64705 17.23688 12.28105  5.46411 10.67832  9.48183  7.07661  2.49982  9.72925  7.57808  7.84924 10.81590  7.49945 13.84473 14.42168  9.28101  8.97750  5.63348  9.57055  3.75129 10.24993  2.43095  7.94034 11.31029 15.43578 15.92943  9.02064 19.02003 11.48623 15.12233 10.54480  3.18513 11.45813  7.95265 11.54098  2.44834 14.29830 17.43831 12.16675  9.99852 11.48491 15.41447  7.02465  6.28098  8.68481  2.63208 13.10081  4.43901 12.91179  6.06177  9.83818  6.61356 10.91797 10.47554  4.76011 11.24785 10.75481  3.09484  0.97125  4.48279  7.88117  4.79375  7.40438  6.22570 11.19698 22.81824  2.58073  8.60168  7.59876 13.85182 12.18921  3.85529 13.53303  8.78196  9.30334 11.41734 14.59882 18.29051 10.89360 13.25520
0.011111 12.09289 20.92263 13.53511  6.05617 13.36789 12.06123  4.23551  3.27360 22.12762 10.58510 13.77505  8.14981 15.62230  8.65644 12.51493 13.67213 11.20057  4.09696 13.45631  4.11273 10.38011  4.87858 10.40700  6.35810 16.70947 10.65408  8.87153 14.81956 11.20057  9.75121 10.85987  4.76350 12.61032  6.36101  5.83635  8.89316 13.10635 22.37665  9.59373  9.00514 11.19698 12.11963 15.28609  6.16818 11.27281 13.62799  5.23360  4.81380 15.21848 11.07593  6.16189 12.14254  9.23356  7.92744 17.50663  4.58142  5.55854  4.09696 13.64814  3.61745 16.95665  0.55744  8.59998  3.21265 13.74040  8.17998  6.21844 10.92211 12.40857 12.23976  3.22216  3.27360 20.41735  9.41742  7.94034  3.21265  7.95775  9.51944  9.86767 14.33996
0.011111  9.87455 12.70628 16.34932 15.89050  9.07233  8.71302  4.00623  3.68371 21.05086  9.08941 11.54098 13.12986  9.70036 12.98769  6.83201 12.85727  4.44859  7.76233 10.24453  6.66686 20.11963  3.30018 12.10496  5.50569  9.70036 14.44855  4.76011 11.93118 11.96649  6.45855 11.19211  2.95751 15.39966  6.16022  8.50326  7.31814 14.75553 17.85447  7.02465  5.46411  6.11742 15.92943  4.47115 15.60596  3.82485  9.34974  5.04976  5.26795 16.54740 10.36440 14.61755  8.62310 15.08389 21.60057  6.21844  5.19702 10.90584 10.60631 13.85162  3.12726 23.45195  3.74237 14.85478 11.00630  7.49945 13.40965  5.77333 16.83715  5.36591 12.60975 12.05356  3.21439 12.76033  5.58718  9.83818  4.23966 17.58580 22.81824  8.87153  5.71205
0.011111 17.58580 12.98769  5.77333 10.92211  9.70294  6.77260  8.30489  2.37250 14.86372  2.15977  6.89200  6.73702  8.92690 15.92943 15.47873  8.60168 13.18390  2.63208  7.07661  2.55260  9.99238  3.74237 11.81741  9.40738  6.11742  7.66366 13.13468  5.71205  9.95769  5.40598 10.14739  4.19071 15.21848  2.43095  7.58026  7.84989 10.04296 14.44855  7.39489  9.14236  9.51944 15.24788 12.05412  8.33915  7.59876  9.88864  9.76562  4.15145 15.39966  6.46344 11.40654  8.53087 10.21182 15.24788  8.56549  7.33503  4.94314  5.16218  9.27048  3.18513 26.48432  6.56731  7.49198  9.15421 11.58312  9.31323  6.42947  8.20971 12.49472 16.87084  5.41120  2.44077  6.78643  5.67988  6.40050 13.35079  8.70840 18.74956  2.58073  6.28098
